state,x,y
Andhra Pradesh,-81.0,-149.0
Arunachal Pradesh,198.0,119.0
Assam,173.0,76.0
Bihar,59.0,60.0
Chhattisgarh,-22.0,-26.0
Goa,-154.0,-130.0
Gujarat,-192.0,4.0
Haryana,-104.0,121.0
Himachal Pradesh,-89.0,176.0
Jharkhand,43.0,12.0
Karnataka,-121.0,-152.0
Kerala,-107.0,-238.0
Madhya Pradesh,-80.0,12.0
Maharashtra,-126.0,-48.0
Manipur,196.0,51.0
Meghalaya,134.0,64.0
Mizoram,182.0,27.0
Nagaland,206.0,75.0
Odisha,28.0,-39.0
Punjab,-120.0,152.0
Rajasthan,-157.0,84.0
Sikkim,99.0,101.0
Tamil Nadu,-81.0,-206.0
Telangana,-66.0,-81.0
Tripura,158.0,27.0
Uttar Pradesh,-15.0,70.0
Uttarakhand,-55.0,142.0
West Bengal,86.0,5.0
Jammu and Kashmir,-104.0,222.0
